Informant ID,MainVariety
SC16-340f22,England (North)
SC16-342m22,England (North)
SC16-347f19,England (North)
SC16-348m21,England (South)
SC16-350f22,England (South)
SC16-351m20,England (South)
SC16-367f23,England (South)
SC16-370m21,England (South)
SC16-372m20,England (North)
SC16-373f24,England (North)
SC16-374m22,England (South)
SC16-375f23,England (North)
SC16-388m19,England (South)
SC16-390f24,England (South)
SC16-417m22,England (North)
UK10-001m21,England (North)
UK10-002m19,England (North)
UK10-003f19,England (South)
UK10-004m21,England (South)
UK10-005m20,England (North)
UK10-006f22,England (North)
UK10-007m19,England (South)
UK10-009f19,England (South)
UK10-011m24,England (North)
UK10-012f23,England (North)
UK10-013f24,England (South)
UK10-015m21,England (North)
UK10-017m18,England (North)
UK10-018f20,England (South)
UK10-019m20,England (North)
UK10-020m20,England (South)
UK10-021f20,England (North)
UK10-022f18,England (South)
UK10-023m22,England (North)
UK10-024f21,UNCLEAR
UK10-025f21,England (North)
UK10-026f20,England (South)
UK10-027m22,England (South)
UK10-028f21,England (South)
UK10-029f22,England (South)
UK10-031m19,England (North)
UK10-032f22,England (North)
UK10-033m21,England (North)
GBNIR26-0001,England (South)
GBNIR26-0002,Ireland (GB-NIR)
GBNIR26-0003,Ireland (GB-NIR)
GBNIR26-0004,Ireland (GB-NIR)
GBNIR26-0007,Ireland (IRL)
GBNIR26-0010,Ireland (GB-NIR)
GBNIR26-0014,Ireland (GB-NIR)
GBNIR26-0015,Ireland (GB-NIR)
GBNIR26-0017,England (North)
GBNIR26-0018,Ireland (GB-NIR)
GBNIR26-0019,Ireland (GB-NIR)
GBNIR26-0020,Ireland (IRL)
GBNIR26-0022,Ireland (GB-NIR)
GBNIR26-0023,Ireland (GB-NIR)
GBNIR26-0024,Ireland (GB-NIR)
GBNIR26-0026,Ireland (GB-NIR)
IRL26-0011,Ireland (IRL)
IRL26-0012,Ireland (IRL)
IRL26-0013,Ireland (IRL)
IRL26-0014,Ireland (IRL)
IRL26-0015,Ireland (IRL)
IRL26-0018,Ireland (IRL)
IRL26-0019,Ireland (IRL)
IRL26-0020,Ireland (IRL)
IRL26-0021,Ireland (IRL)
IRL26-0022,Ireland (IRL)
IRL26-0023,Ireland (IRL)
IRL26-0024,Ireland (IRL)
IRL26-0025,Ireland (IRL)
IRL26-0026,Ireland (IRL)
IRL26-0027,Ireland (IRL)
IRL26-0028,Ireland (IRL)
IRL26-0029,Ireland (IRL)
IRL26-0030,Ireland (IRL)
IRL26-0032,Ireland (IRL)
IRL26-0034,Ireland (IRL)
IRL26-0035,Ireland (IRL)
IRL26-0037,Ireland (IRL)
IRL26-0038,Ireland (IRL)
IRL26-0039,Ireland (IRL)
IRL26-0040,Ireland (IRL)
IRL26-0043,Ireland (IRL)
IRL26-0044,Ireland (IRL)
IRL26-0045,Ireland (IRL)
IRL26-0046,Ireland (IRL)
IRL26-0047,Ireland (IRL)
IRL26-0049,Ireland (IRL)
IRL26-0050,Ireland (IRL)
IRL26-0051,Ireland (IRL)
IRL26-0052,Ireland (IRL)
IRL26-0053,Ireland (IRL)
IRL26-0055,Ireland (IRL)
IRL26-0056,Ireland (IRL)
IRL26-0057,Ireland (IRL)
IRL26-0058,Ireland (IRL)
IRL26-0059,Ireland (IRL)
IRL26-0060,Ireland (IRL)
IRL26-0061,Ireland (IRL)
IRL26-0062,Ireland (IRL)
IRL26-0063,Ireland (IRL)
IRL26-0068,Ireland (IRL)
