Informant ID,north_south,n_c_e_s
UK10-007m19,south,east
SC16-370m21,south,southwest
SC16-367f23,south,east
UK10-002m19,north,central
UK10-017m18,north,central
UK10-028f21,south,southwest
UK10-026f20,south,southwest
SC16-417m22,north,northern
UK10-011m24,north,central
UK10-021f20,north,central
UK10-031m19,north,central
SC16-350f22,south,southwest
SC16-342m22,north,northern
UK10-019m20,north,northern
UK10-029f22,south,east
UK10-004m21,south,southwest
UK10-027m22,south,east
SC16-351m20,south,east
UK10-012f23,north,northern
SC16-374m22,south,southwest
UK10-023m22,north,northern
SC16-347f19,north,northern
UK10-032f22,north,central
UK10-006f22,north,central
UK10-025f21,north,central
UK10-009f19,south,east
UK10-020m20,south,east
SC16-390f24,south,east
UK10-005m20,north,central
UK10-033m21,north,central
SC16-372m20,north,central
UK10-024f21,UNCLEAR,UNCLEAR
UK10-003f19,south,southwest
SC16-348m21,south,southwest
SC16-340f22,north,central
SC16-375f23,north,central
SC16-373f24,north,central
UK10-013f24,south,east
UK10-018f20,south,east
UK10-022f18,south,east
SC16-388m19,south,east
UK10-015m21,north,central
UK10-001m21,north,northern
